Date,Price,Open,High,Low,Vol.,Change %
12/31/2025,60.85,61.33,61.92,60.63,208.85K,-1.73%
12/30/2025,61.92,61.56,62.32,61.45,29.69K,-0.03%
12/29/2025,61.94,60.91,62.19,60.87,86.95K,2.14%
12/26/2025,60.64,62.3,62.67,60.56,53.28K,-1.88%
12/24/2025,61.8,61.97,62.22,61.55,165.81K,-0.11%
12/23/2025,61.87,61.44,62.03,61.28,284.55K,0.47%
12/22/2025,61.58,60.25,61.66,60.11,323.72K,1.84%
12/19/2025,60.47,59.72,60.65,59.4,241.73K,1.09%
12/18/2025,59.82,60.61,60.67,59.54,237.23K,0.23%
12/17/2025,59.68,59.3,60.74,59.25,346.61K,1.29%
12/16/2025,58.92,60.39,60.4,58.72,356.77K,-2.71%
12/15/2025,60.56,61.09,61.5,60.13,288.63K,-0.92%
12/12/2025,61.12,61.6,61.86,60.81,246.06K,-0.26%
12/11/2025,61.28,62.42,62.63,60.77,328.70K,-1.49%
12/10/2025,62.21,62.11,62.73,61.35,298.74K,0.44%
12/9/2025,61.94,62.54,62.78,61.83,240.38K,-0.88%
12/8/2025,62.49,63.75,63.96,62.34,276.73K,-1.98%
12/5/2025,63.75,63.26,64.09,63.06,243.20K,0.77%
12/4/2025,63.26,62.72,63.62,62.53,218.46K,0.94%
12/3/2025,62.67,62.56,63.37,62.18,263.71K,0.35%
12/2/2025,62.45,63.33,63.35,62.17,300.18K,-1.14%
12/1/2025,63.17,62.69,63.82,62.69,313.72K,-0.05%
11/28/2025,63.2,63.36,63.76,63.05,23.58K,-0.22%
11/27/2025,63.34,63.01,63.45,62.75,64.93K,0.33%
11/26/2025,63.13,62.64,63.2,62.11,124.93K,1.04%
11/25/2025,62.48,63.36,63.36,61.6,232.00K,-1.40%
11/24/2025,63.37,62.7,63.56,61.94,209.01K,2.31%
11/21/2025,61.94,62.4,62.47,61.26,410.55K,-1.37%
11/20/2025,62.8,63.23,63.85,62.41,327.01K,-0.32%
11/19/2025,63,64.26,64.36,62.43,363.40K,-2.22%
11/18/2025,64.43,63.58,64.64,63.2,295.95K,1.05%
11/17/2025,63.76,63.6,64.24,63.23,207.69K,-0.98%
11/14/2025,64.39,63.36,64.87,63.36,461.05K,2.19%
11/13/2025,63.01,62.56,63.45,62.34,324.11K,0.48%
11/12/2025,62.71,65.15,65.15,62.56,403.45K,-3.76%
11/11/2025,65.16,63.94,65.31,63.6,309.79K,1.72%
11/10/2025,64.06,63.8,64.34,63.32,273.06K,0.68%
11/7/2025,63.63,63.63,64.39,63.23,358.55K,0.39%
11/6/2025,63.38,63.58,64.34,62.84,392.51K,-0.22%
11/5/2025,63.52,64.18,64.95,63.44,334.45K,-1.43%
11/4/2025,64.44,64.73,64.8,63.82,265.67K,-0.69%
11/3/2025,64.89,65.12,65.32,64.33,307.41K,-0.28%
10/31/2025,65.07,64.64,65.46,64.5,20.71K,0.11%
10/30/2025,65,64.69,65.15,64.06,110.56K,0.12%
10/29/2025,64.92,64.52,65.37,63.92,105.76K,0.81%
10/28/2025,64.4,65.54,65.76,64,232.27K,-1.86%
10/27/2025,65.62,66.16,66.64,65.06,247.02K,0.64%
10/24/2025,65.2,65.12,65.95,64.73,475.49K,-0.14%
10/23/2025,65.29,63.8,65.66,63.37,808.93K,4.92%
10/22/2025,62.23,61.34,64.04,61.09,429.97K,1.97%
10/21/2025,61.03,60.78,61.82,60.2,323.90K,0.25%
10/20/2025,60.88,61.16,61.37,59.97,225.22K,-0.67%
10/17/2025,61.29,61,61.47,60.14,378.72K,0.38%
10/16/2025,61.06,62.4,62.75,60.84,416.75K,-1.37%
10/15/2025,61.91,62.33,63.04,61.79,331.20K,-0.77%
10/14/2025,62.39,63.49,63.63,61.5,423.16K,-1.47%
10/13/2025,63.32,62.9,63.95,62.9,346.53K,0.94%
10/10/2025,62.73,65.27,65.36,62,547.99K,-3.82%
10/9/2025,65.22,65.82,66.58,64.96,345.80K,-1.55%
10/8/2025,66.25,65.8,66.54,65.76,325.86K,1.22%
10/7/2025,65.45,65.48,65.84,64.53,293.95K,-0.03%
10/6/2025,65.47,64.9,65.77,64.76,299.84K,1.46%
10/3/2025,64.53,64.38,65.02,64.2,311.95K,0.66%
10/2/2025,64.11,65.45,66.15,64,480.22K,-1.90%
10/1/2025,65.35,66.18,66.57,65.05,420.60K,-2.49%
9/30/2025,67.02,67.5,67.71,66.84,19.23K,-1.40%
9/29/2025,67.97,69.5,69.91,67.52,107.59K,-3.08%
9/26/2025,70.13,69.54,70.76,69.11,110.38K,1.02%
9/25/2025,69.42,69.04,69.68,68.42,210.51K,0.16%
9/24/2025,69.31,67.88,69.37,67.51,222.73K,3.49%
9/23/2025,66.97,65.99,67.42,65.49,344.39K,1.52%
9/22/2025,65.97,65.98,66.67,65.35,295.75K,-1.06%
